,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
82,Yannick Carrasco,be BEL,"DF,FW",Atlético Madrid,29-069,1993,13,8,739,8.2,1,0,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12
83,Dani Carvajal,es ESP,DF,Real Madrid,30-305,1992,12,10,872,9.7,0,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10
84,William Carvalho,pt POR,MF,Betis,30-219,1992,13,12,926,10.3,2,1,2,0,0,3,0,0.19,0.10,0.29,0.19,0.29
85,Casals,es ESP,MF,Girona,17-158,2005,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
86,Casemiro,br BRA,MF,Real Madrid,30-262,1992,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
87,Valentín Castellanos,ar ARG,FW,Girona,24-040,1998,14,14,"1,112",12.4,3,0,3,0,0,4,0,0.24,0.00,0.24,0.24,0.24
88,Samu Castillejo,es ESP,FW,Valencia,27-298,1995,10,8,612,6.8,2,0,2,0,0,4,0,0.29,0.00,0.29,0.29,0.29
89,Catena,es ESP,DF,Rayo Vallecano,28-015,1994,14,14,"1,260",14.0,1,1,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14
90,Edinson Cavani,uy URU,FW,Valencia,35-271,1987,7,7,430,4.8,4,1,2,2,3,0,0,0.84,0.21,1.05,0.42,0.63
91,Dani Ceballos,es ESP,MF,Real Madrid,26-097,1996,8,2,178,2.0,0,1,0,0,0,1,0,0.00,0.51,0.51,0.00,0.51
92,Franco Cervi,ar ARG,MF,Celta Vigo,28-170,1994,13,12,"1,017",11.3,0,2,0,0,0,0,1,0.00,0.18,0.18,0.00,0.18
93,Pep Chavarría,es ESP,"FW,DF",Rayo Vallecano,24-216,1998,5,0,66,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
94,Andreas Christensen,dk DEN,DF,Barcelona,26-216,1996,5,4,318,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
95,Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,23-174,1999,13,5,538,6.0,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17
96,Víctor Chust,es ESP,DF,Cádiz,22-252,2000,11,9,851,9.5,1,0,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11
97,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,28-241,1994,13,6,643,7.1,1,0,1,0,0,3,0,0.14,0.00,0.14,0.14,0.14
98,Carlos Clerc,es ESP,DF,Elche,30-264,1992,10,10,862,9.6,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10
99,Álex Collado,es ESP,"MF,FW",Elche,23-204,1999,8,8,514,5.7,1,1,1,0,0,0,0,0.18,0.18,0.35,0.18,0.35
100,Eray Cömert,ch SUI,DF,Valencia,24-281,1998,11,10,871,9.7,1,0,1,0,0,3,1,0.10,0.00,0.10,0.10,0.10
101,Santi Comesaña,es ESP,MF,Rayo Vallecano,26-038,1996,12,8,728,8.1,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12
102,Copete,es ESP,DF,Mallorca,23-033,1999,12,12,997,11.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
103,,,,,,,,,,,,,,,,,,,,,,
104,Francis Coquelin,fr FRA,MF,Villarreal,31-183,1991,11,6,523,5.8,1,0,1,0,0,2,0,0.17,0.00,0.17,0.17,0.17
105,Jesús Corona,mx MEX,FW,Sevilla,29-310,1993,1,1,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
106,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,27-248,1995,14,4,513,5.7,3,0,3,0,0,1,0,0.53,0.00,0.53,0.53,0.53
107,Thierry Correia,pt POR,DF,Valencia,23-248,1999,14,14,"1,211",13.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
108,Jaume Costa,es ESP,DF,Mallorca,34-239,1988,11,11,964,10.7,0,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09
109,Samu Costa,pt POR,MF,Almería,21-350,2000,11,8,768,8.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
110,Thibaut Courtois,be BEL,GK,Real Madrid,30-185,1992,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
111,Yan Couto,br BRA,"DF,FW",Girona,20-162,2002,10,5,506,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
112,Juan Cruz Armada,es ESP,DF,Osasuna,30-107,1992,13,11,"1,006",11.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
113,Juan Cruz,es ESP,FW,Betis,22-201,2000,5,1,174,1.9,1,0,1,0,0,0,0,0.52,0.00,0.52,0.52,0.52
114,Jorge Cuenca,es ESP,DF,Villarreal,22-360,1999,2,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
115,Braian Cufré,ar ARG,DF,Mallorca,25-332,1996,3,2,194,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
116,Matheus Cunha,br BRA,"FW,MF",Atlético Madrid,23-169,1999,11,2,377,4.2,0,2,0,0,0,2,0,0.00,0.48,0.48,0.00,0.48
117,Curro,es ESP,MF,Almería,26-313,1996,2,0,43,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
118,Sergi Darder,es ESP,MF,Espanyol,28-325,1993,14,14,"1,233",13.7,2,1,2,0,0,2,0,0.15,0.07,0.22,0.15,0.22
119,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,28-172,1994,12,9,670,7.4,1,1,1,0,0,2,0,0.13,0.13,0.27,0.13,0.27
120,Alberto Del Moral,es ESP,MF,Villarreal,22-115,2000,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
121,Thomas Delaney,dk DEN,MF,Sevilla,31-070,1991,8,2,309,3.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
122,Fran Delgado,es ESP,DF,Betis,21-124,2001,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
123,Ousmane Dembélé,fr FRA,FW,Barcelona,25-181,1997,14,11,866,9.6,4,5,4,0,0,3,0,0.42,0.52,0.94,0.42,0.94
124,Memphis Depay,nl NED,FW,Barcelona,28-272,1994,2,2,114,1.3,1,0,1,0,0,0,0,0.79,0.00,0.79,0.79,0.79
125,Mouctar Diakhaby,gn GUI,DF,Valencia,25-328,1996,10,10,791,8.8,2,0,2,0,0,5,1,0.23,0.00,0.23,0.23,0.23
126,Mamady Diarra,ml MLI,"MF,DF",Cádiz,22-139,2000,2,1,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
127,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,28-322,1993,13,13,"1,170",13.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
128,Malcom Abdulai Ares Djalo,es ESP,FW,Athletic Club,21-031,2001,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
129,,,,,,,,,,,,,,,,,,,,,,
130,Djené,tg TOG,DF,Getafe,30-316,1991,12,12,"1,002",11.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
131,Marko Dmitrović,rs SRB,GK,Sevilla,30-292,1992,3,2,225,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
132,Kasper Dolberg,dk DEN,FW,Sevilla,25-037,1997,4,2,197,2.2,0,1,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46
133,Carlos Dominguez,es ESP,MF,Celta Vigo,21-274,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
