,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG
10,Girona,25,26.5,52.7,14,154,"1,260",14.0,19,14,15,4,5,32,0,1.36,1.00,2.36,1.07,2.07,18.5,14.6,12.5,27.1,1.32,0.90,2.21,1.04,1.94
11,Mallorca,23,28.1,41.2,14,154,"1,260",14.0,13,9,11,2,3,59,2,0.93,0.64,1.57,0.79,1.43,13.2,10.7,9.5,20.2,0.94,0.68,1.62,0.76,1.44
12,Osasuna,22,28.3,46.1,14,154,"1,260",14.0,16,11,12,4,5,46,4,1.14,0.79,1.93,0.86,1.64,18.2,14.3,10.6,24.9,1.30,0.76,2.06,1.02,1.78
13,Rayo Vallecano,24,28.5,53.9,14,154,"1,260",14.0,19,13,16,3,4,39,2,1.36,0.93,2.29,1.14,2.07,16.7,13.6,11.1,24.7,1.19,0.79,1.99,0.97,1.77
14,Real Madrid,22,27.8,58.0,14,154,"1,260",14.0,33,24,30,3,5,24,1,2.36,1.71,4.07,2.14,3.86,30.8,26.9,23.4,50.3,2.20,1.67,3.87,1.92,3.59
15,Real Sociedad,27,26.1,56.0,14,154,"1,260",14.0,18,15,18,0,1,41,1,1.29,1.07,2.36,1.29,2.36,17.9,17.2,13.4,30.6,1.28,0.96,2.24,1.23,2.18
16,Sevilla,28,29.4,54.4,14,154,"1,260",14.0,13,10,13,0,0,57,6,0.93,0.71,1.64,0.93,1.64,14.1,14.1,10.4,24.5,1.01,0.74,1.75,1.01,1.75
17,Valencia,26,24.4,58.0,14,154,"1,260",14.0,22,12,18,4,6,41,4,1.57,0.86,2.43,1.29,2.14,20.2,15.5,12.2,27.6,1.44,0.87,2.31,1.11,1.97
18,Valladolid,28,28.5,48.2,14,154,"1,260",14.0,13,9,12,1,2,29,1,0.93,0.64,1.57,0.86,1.50,13.5,11.9,9.6,21.5,0.96,0.69,1.65,0.85,1.54
19,Villarreal,24,29.0,52.8,14,154,"1,260",14.0,14,7,13,1,1,32,2,1.00,0.50,1.50,0.93,1.43,17.2,16.4,12.6,29.0,1.23,0.90,2.13,1.17,2.07
20,Alavés,33,27.9,42.0,38,418,"3,420",38.0,29,20,23,6,7,93,4,0.76,0.53,1.29,0.61,1.13,41.1,35.6,27.8,63.4,1.08,0.73,1.81,0.94,1.67
21,Athletic Club,26,26.9,48.1,38,418,"3,420",38.0,40,34,37,3,7,90,4,1.05,0.89,1.95,0.97,1.87,54.4,48.8,41.3,90.1,1.43,1.09,2.52,1.28,2.37
22,Atlético Madrid,26,28.1,50.6,38,418,"3,420",38.0,63,45,59,4,5,111,7,1.66,1.18,2.84,1.55,2.74,58.6,55.3,42.8,98.1,1.54,1.13,2.67,1.45,2.58
23,Barcelona,38,26.2,64.2,38,418,"3,420",38.0,68,52,62,6,7,97,5,1.79,1.37,3.16,1.63,3.00,67.7,62.2,50.4,112.5,1.78,1.33,3.11,1.64,2.96
24,Betis,31,28.9,53.7,38,418,"3,420",38.0,60,45,54,6,6,87,6,1.58,1.18,2.76,1.42,2.61,59.0,54.3,42.3,96.5,1.55,1.11,2.66,1.43,2.54
25,Cádiz,33,28.5,41.3,38,418,"3,420",38.0,35,21,32,3,6,105,3,0.92,0.55,1.47,0.84,1.39,45.1,40.3,28.6,68.9,1.19,0.75,1.94,1.06,1.81
26,Celta Vigo,25,28.4,55.2,38,418,"3,420",38.0,43,29,40,3,6,87,3,1.13,0.76,1.89,1.05,1.82,46.7,41.9,31.9,73.8,1.23,0.84,2.07,1.10,1.94
27,Elche,28,29.1,48.4,38,418,"3,420",38.0,39,29,38,1,1,104,6,1.03,0.76,1.79,1.00,1.76,36.3,35.5,28.9,64.4,0.95,0.76,1.71,0.93,1.69
28,Espanyol,34,27.6,46.9,38,418,"3,420",38.0,39,25,34,5,5,99,7,1.03,0.66,1.68,0.89,1.55,40.4,36.5,28.4,64.9,1.06,0.75,1.81,0.96,1.71
29,Getafe,31,26.6,41.5,38,418,"3,420",38.0,31,26,28,3,5,121,8,0.82,0.68,1.50,0.74,1.42,33.4,29.5,22.9,52.4,0.88,0.60,1.48,0.78,1.38
30,Granada,32,28.1,44.7,38,418,"3,420",38.0,43,28,40,3,5,105,4,1.13,0.74,1.87,1.05,1.79,45.0,41.2,30.9,72.1,1.18,0.81,2.00,1.08,1.90
